,title,director,distributor,distributor_group,release_date,release_season,nation,screen,rev_nationwide,aud_nationwide,genre,rate,type,starring_actors,running_times,release_year,director_power,expert_rating,sequel,original,actor_power,before_news,after_news,holiday,dist_cat,audience_rating,rating_audiences
0,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아(주),B,20150423,spring,미국,1843,88582586366,10494499,액션,12세이상관람가,일반영화,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로",141,2015,7073037,6.92,1,0,33074337,4120,1940,0,B,8.612376614,5268
1,국제시장,윤제균,씨제이이앤엠(주),A,20141217,winter,한국,966,69823893034,8911437,드라마,12세이상관람가,일반영화,"황정민,김윤진,오달수",126,2014,0,5.81,0,0,51592007,1547,917,0,A,9.272090989,1143
2,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),B,20150211,winter,미국,706,50333635795,6125154,액션,청소년관람불가,일반영화,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨",128,2015,7163,7.58,1,0,6557445,427,384,0,B,8.960784314,918
3,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),B,20150611,summer,미국,1290,40130812071,4565888,액션,12세이상관람가,일반영화,"크리스 프랫,브라이스 달라스 하워드,빈센트 도노프리오",125,2015,23,6.63,0,1,1472533,209,668,0,B,8.337789203,1945
4,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,C,20150211,winter,한국,811,30456879428,3872015,사극,12세이상관람가,일반영화,"김명민,오달수,이연희",125,2015,0,5.85,1,0,58897340,985,621,0,A,8.172131148,610
5,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),B,20150514,spring,미국,799,32781268462,3828994,액션,15세이상관람가,일반영화,"톰 하디,샤를리즈 테론,니콜라스 홀트",120,2015,185420,8.75,0,1,11101070,88,480,0,B,8.889012209,901
6,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),B,20150401,spring,미국,983,26449334694,3247558,액션,15세이상관람가,일반영화,"빈 디젤,폴 워커,드웨인 존슨",138,2015,2890669,7.08,0,1,9912243,46,387,0,B,9.294190358,809
7,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),C,20150325,spring,한국,926,23558988686,3044134,코미디,15세이상관람가,일반영화,"김우빈,준호,강하늘",115,2015,1217,5.88,1,0,2258611,1589,771,0,A,8.779516358,703
8,빅 히어로,"돈 홀,크리스 윌리암스",월트디즈니컴퍼니코리아(주),B,20150121,winter,미국,825,21993119765,2801949,애니메이션,전체관람가,일반영화,"다니엘 헤니,라이언 포터,스콧 애짓",108,2015,0,7.16,1,0,3490818,678,449,0,B,9.359840954,1006
9,극비수사,곽경택,(주)쇼박스,C,20150618,summer,한국,894,18338857652,2330813,드라마,15세이상관람가,일반영화,"김윤석,유해진",108,2015,3015354,7.16,1,0,33237892,1179,904,0,A,8.393271462,862
10,스파이,폴 페이그,이십세기폭스코리아(주),B,20150521,spring,미국,665,18385015858,2314520,액션,15세이상관람가,일반영화,"멜리사 맥카시,주드 로,제이슨 스타뎀",120,2015,0,7.32,0,0,2616726,274,368,0,B,8.889208633,695
11,강남 1970,유하,(주)쇼박스,C,20150121,winter,한국,841,17717971499,2192172,액션,청소년관람불가,일반영화,"이민호,김래원,정진영",135,2015,1612554,5.84,0,0,21272936,2608,1725,0,A,8.053080569,1055
12,악의 연대기,백운학,씨제이이앤엠(주),A,20150514,spring,한국,776,17357873332,2191793,스릴러,15세이상관람가,일반영화,"손현주,마동석,최다니엘",102,2015,0,5.81,0,0,29337703,1568,521,0,A,8.428093645,598
13,오늘의 연애,박진표,씨제이이앤엠(주),A,20150114,winter,한국,709,14924654487,1891993,멜로/로맨스,15세이상관람가,일반영화,"이승기,문채원,이서진",118,2015,0,4,0,0,23350,2202,1131,0,A,8.060514372,661
14,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),C,20150624,summer,한국,1013,14298162159,1872677,드라마,12세이상관람가,일반영화,"김무열,진구,이현우",130,2015,0,4.94,1,0,35457619,1090,2068,0,A,9.344880677,1299
15,테이큰 3,올리비에 메가턴,이십세기폭스코리아(주),B,20150101,winter,미국,616,15088105000,1860934,액션,15세이상관람가,일반영화,"리암 니슨,팜케 얀센,매기 그레이스",112,2015,2308596,3.88,0,1,10630635,47,308,1,B,8.095959596,990
16,이미테이션 게임,모튼 틸덤,메가박스중앙(주)플러스엠,A,20150217,winter,영국,541,13654746120,1743774,드라마,15세이상관람가,일반영화,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드",114,2015,1,7.25,1,0,10966878,66,674,0,A,8.726821192,604
17,샌 안드레아스,브래드 페이튼,워너브러더스 코리아(주),B,20150603,summer,미국,847,14397026552,1712142,액션,12세이상관람가,일반영화,"드웨인 존슨,알렉산드라 다드다리오,칼라 구기노",114,2015,1149628,4.9,0,0,4888448,298,307,0,B,8.426070039,514
18,쎄시봉,김현석,씨제이이앤엠(주),A,20150205,winter,한국,829,13509581911,1707487,멜로/로맨스,15세이상관람가,일반영화,"정우,김윤석,한효주",122,2015,870785,6.11,1,0,37303827,1718,1121,0,A,8.434243176,403
19,위플래쉬,데이미언 셔젤,(주)쇼박스,C,20150312,spring,미국,436,12426704845,1559430,드라마,15세이상관람가,독립/예술영화,"마일즈 텔러,J.K. 시몬스",106,2015,0,8.44,1,0,200,59,340,0,A,9.083129584,409
20,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",씨제이이앤엠(주),A,20141231,winter,미국,615,11450482159,1512340,애니메이션,전체관람가,일반영화,"베네딕트 컴버배치,존 말코비치,톰 맥그라스",92,2014,1390190,6.33,0,1,10578164,24,299,0,A,8.681981982,1110
21,차이나타운,한준희,CGV아트하우스,A,20150429,spring,한국,551,11989400678,1472006,범죄,청소년관람불가,일반영화,"김혜수,김고은,엄태구",110,2015,0,6.03,0,0,23495448,1607,607,0,A,7.491289199,574
22,장수상회,강제규,씨제이이앤엠(주),A,20150409,spring,한국,688,8707389643,1160935,멜로/로맨스,12세이상관람가,일반영화,"박근형,윤여정,조진웅",112,2015,0,6.36,1,0,38288122,482,543,0,A,8.677725118,211
23,간신,민규동,롯데쇼핑㈜롯데엔터테인먼트,A,20150521,spring,한국,697,8946618910,1110214,사극,청소년관람불가,일반영화,"주지훈,김강우,천호진",131,2015,5222820,4.97,0,0,9437615,1093,820,0,A,7.268542199,391
24,박물관이 살아있다 : 비밀의 무덤,숀 레비,이십세기폭스코리아(주),B,20150114,winter,미국,500,8170784606,1101678,어드벤처,전체관람가,일반영화,"벤 스틸러,로빈 윌리엄스,댄 스티븐스",98,2015,0,5.67,0,0,1783439,24,254,0,B,8.313559322,354
25,허삼관,하정우,(주)넥스트엔터테인먼트월드(NEW),C,20150114,winter,한국,621,7405415569,955175,드라마,12세이상관람가,일반영화,"하정우,하지원",124,2015,270148,6.46,1,0,26394758,2588,1113,0,A,7.811816193,457
26,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",A,20141127,autumn,한국,206,7509448200,955149,다큐멘터리,전체관람가,독립/예술영화,"조병만,강계열",86,2014,0,6,1,0,0,31,59,0,A,9.67,100
27,살인의뢰,손용호,씨네그루(주)다우기술,B,20150312,spring,한국,646,6986456737,855980,범죄,청소년관람불가,일반영화,"김상경,김성균,박성웅",102,2015,0,4.33,1,0,42388996,558,492,0,B,6.614678899,327
28,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,A,20141224,winter,한국,641,6241817635,786257,범죄,15세이상관람가,일반영화,"김우빈,김영철,고창석",116,2014,1646142,4.75,0,0,11457458,712,897,0,A,7.925486876,1181
29,신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),B,20150319,spring,미국,531,5499767900,716386,멜로/로맨스,전체관람가,일반영화,"릴리 제임스,리차드 매든,케이트 블란쳇",113,2015,327591,6.5,1,0,10302428,144,322,0,B,8.403278689,305
30,채피,닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),B,20150312,spring,미국,536,4620348654,573657,액션,15세이상관람가,일반영화,"휴 잭맨,샬토 코플리,시고니 위버",120,2015,1207732,5.78,1,0,12509432,78,312,0,B,7.703703704,216
31,헬머니,신한솔,(주)넥스트엔터테인먼트월드(NEW),C,20150305,spring,한국,422,4096141972,519983,코미디,청소년관람불가,일반영화,"김수미,정만식,김정태",108,2015,0,4.13,0,0,43034509,938,276,0,A,7.56462585,147
32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",(주)넥스트엔터테인먼트월드(NEW),C,20150212,winter,일본,432,3681140429,503516,애니메이션,전체관람가,일반영화,"미즈타,와사비,오오하라 메구미,카카즈 유미",95,2015,0,7,1,1,331280,29,116,0,A,8.517928287,251
33,위험한 상견례 2,김진영,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",A,20150429,spring,한국,429,3575384754,472693,멜로/로맨스,15세이상관람가,일반영화,"진세연,홍종현,신정근",119,2015,338168,4,0,1,22214097,1940,895,0,A,8.396039604,202
34,순수의 시대,안상훈,씨제이이앤엠(주),A,20150305,spring,한국,546,3702353828,465492,사극,청소년관람불가,일반영화,"신하균,장혁,강한나",113,2015,0,4.57,0,0,4296558,1633,744,0,A,6.721153846,208
35,무뢰한,오승욱,CGV아트하우스,A,20150527,spring,한국,482,3253854931,413577,멜로/로맨스,청소년관람불가,일반영화,"전도연,김남길,박성웅",118,2015,0,7.21,0,0,23523340,1493,544,0,A,7.502283105,219
36,내 심장을 쏴라,문제용,"(주)리틀빅픽쳐스,(주)이수C&E",D,20150128,winter,한국,452,2856859132,387409,드라마,15세이상관람가,일반영화,"이민기,여진구",102,2015,0,4.55,1,0,4265101,993,409,0,C,8.256544503,191
37,그레이의 50가지 그림자,샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),B,20150226,winter,미국,512,2918598796,364415,드라마,청소년관람불가,일반영화,"제이미 도넌,다코타 존슨,루크 그림즈",125,2015,0,3.07,0,1,0,147,376,0,B,5.57518797,266
38,홈,팀 존슨,씨제이이앤엠(주),A,20150521,spring,미국,532,2691338791,360445,애니메이션,전체관람가,일반영화,"짐 파슨스,리아나,제니퍼 로페즈",94,2015,0,6.56,0,0,1648070,0,1,0,A,8.260869565,207
39,경성학교: 사라진 소녀들,이해영,롯데쇼핑㈜롯데엔터테인먼트,A,20150618,summer,한국,489,2710740700,351208,미스터리,15세이상관람가,일반영화,"박보영,엄지원,박소담",99,2015,0,6.75,0,0,10387634,819,431,0,A,6.721088435,294
40,아메리칸 스나이퍼,클린트 이스트우드,워너브러더스 코리아(주),B,20150114,winter,미국,308,2800001438,344766,액션,청소년관람불가,일반영화,"브래들리 쿠퍼,시에나 밀러,제이크 맥더맨",132,2015,0,7.25,1,0,1767333,23,150,0,B,8.669902913,206
41,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),B,20141217,winter,미국,926,2840004341,326887,어드벤처,12세이상관람가,일반영화,"마틴 프리먼,이안 맥켈런,리처드 아미티지",144,2014,4721002,6.42,1,1,7546878,57,179,0,B,8.620253165,1185
42,스폰지밥 3D,폴 티비트,씨제이이앤엠(주),A,20150218,winter,미국,357,2458946200,325016,애니메이션,전체관람가,일반영화,"전태열,이인성,안토니오 반데라스",92,2015,0,5.5,1,0,2232404,57,63,1,A,7.947826087,345
